Country-years:,,Cause groups:,Sex: All sexes,
Data source: WHO mortality database,,,,
Date: Thu Mar 21 5:58:06 CET 2019,,,,
Country,Year,ICD rev and list,Sex,All ages
United States of America,2015,104,M,37248
United States of America,2015,104,F,12123
United States of America,2014,104,M,36156
United States of America,2014,104,F,11456
United States of America,2013,104,M,34971
United States of America,2013,104,F,11020
United States of America,2012,104,M,34891
United States of America,2012,104,F,10691
United States of America,2011,104,M,34110
United States of America,2011,104,F,10409
United States of America,2010,104,M,33434
United States of America,2010,104,F,10105
United States of America,2009,104,M,32370
United States of America,2009,104,F,9804
United States of America,2008,104,M,31804
United States of America,2008,104,F,9526
United States of America,2007,104,M,30819
United States of America,2007,104,F,9397
United States of America,2006,104,M,29759
United States of America,2006,104,F,8926
United States of America,2005,104,M,28969
United States of America,2005,104,F,8644
United States of America,2004,104,M,28890
United States of America,2004,104,F,8717
United States of America,2003,104,M,28679
United States of America,2003,104,F,8095
United States of America,2002,104,M,28677
United States of America,2002,104,F,7997
United States of America,2001,104,M,27667
United States of America,2001,104,F,7355
United States of America,2000,104,M,26391
United States of America,2000,104,F,6945
United States of America,1999,104,M,26255
United States of America,1999,104,F,6989